sleep,work,mood,social,stress
7.0,6.0,2,3,0
5.0,10.0,-1,0,2
6.0,8.0,0,2,1
8.0,5.0,1,3,0
4.0,11.0,-2,1,2
4.0,4.0,0,3,1
5.0,5.0,0,1,2
4.0,7.0,0,1,2
3.0,8.0,0,1,2
6.0,8.0,-1,0,1
6.0,8.0,-2,0,2
8.0,5.0,-2,3,2
6.0,8.0,-1,2,2
6.5,5.0,1,2,0
4.2,10.0,-2,0,2
5.559970653660494,6.362767366200286,-1,0,0
8.72892868525454,5.996208866082629,1,2,0
7.525966679962728,4.585385212525741,2,3,0
6.792621663083701,8.465400030913392,2,3,0
4.358102522433401,7.28961744457766,0,2,0
4.3579698618491145,10.791308930916033,-2,2,2
3.819459866925097,3.288986224338524,0,2,0
8.263968801762143,8.794811347996138,-2,3,0
6.8061325645876485,9.86653990660405,0,2,1
7.394399177878251,9.835379122694764,0,1,0
3.6132147186269137,10.974665703859726,2,2,1
8.834504186890968,9.561303685465447,-2,1,1
8.078434524402319,11.350290554829266,-1,1,1
4.667865108730519,5.993909398388023,-1,0,1
4.500037319639054,7.528884750763888,0,1,1
4.508724804193886,3.126716969546016,0,1,0
5.173332336277458,3.062618285729621,2,2,0
6.386160373977308,5.16113958406368,-2,3,0
5.875697602531637,3.907264774251767,0,2,0
5.101760271089231,5.341902311421783,-1,0,0
6.865190920973087,4.593389650755577,-2,0,0
4.26721623358623,3.2566802235478343,0,3,0
5.1067955669437,11.183737317654444,-2,1,2
5.514990138115304,3.0740081825000236,2,0,0
6.008384913193698,9.624739299033768,-1,3,1
7.818467787661575,4.369330982275649,-2,2,0
4.598205801870979,11.2100665979964,-1,2,2
6.328289411274864,11.035163456308972,0,2,1
6.758280128741234,8.885110317323317,1,1,0
3.7554772699599877,9.050107348205447,-2,1,2
6.841496685457911,3.048052277727197,-1,3,0
4.4378826802801035,11.863844095022419,-2,0,2
3.8577837614190376,10.90049343218233,0,2,2
8.718870454893333,11.055956031570828,0,1,0
8.810976181910076,8.933200833457848,-1,1,0
7.946185414640536,6.103082357890829,2,0,0
5.175375730453538,11.042837841814327,-2,2,2
4.037196627035112,5.623652353360731,-2,2,1
7.263281645816862,8.064403890079825,0,0,0
5.9208387155678075,3.8975787510949416,-2,3,0
4.171210291646283,11.297600671194752,-1,3,2
6.223473005611986,4.26693411994092,1,0,0
3.689136866133701,5.024071251573665,0,0,0
8.501262211433302,8.023207423153934,1,3,0
4.923289898800093,9.876837001916833,-2,0,2
7.143872563946901,8.57416175342669,2,2,0
5.21441091849176,5.089205215201405,-1,3,0
6.36037411647796,3.008487382747413,-2,3,0
6.506906536388038,9.814355222766952,-1,3,1
4.516699505390399,11.866865933199843,-2,2,2
8.832715452705072,10.289218082754815,-2,0,1
7.76323052848613,7.141859563409538,-2,1,0
8.66724417860304,11.13390535259196,0,1,0
8.421550427352068,6.68862905806515,1,2,0
6.788449883460968,7.724406758191208,2,2,0
